#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
1.5701	5.284	0.079
1.5717	5.122	0.076
1.5733	5.216	0.078
1.5749	5.206	0.078
1.5765	5.083	0.077
1.5781	5.272	0.078
1.5797	5.056	0.077
1.5812	5.033	0.077
1.5828	5.089	0.076
1.5844	4.998	0.077
1.5860	5.101	0.077
1.5876	5.200	0.078
1.5892	5.044	0.077
1.5908	5.015	0.075
1.5924	5.175	0.078
1.5940	4.908	0.075
1.5956	5.001	0.077
1.5972	4.998	0.076
1.5988	5.074	0.077
1.6004	5.164	0.078
1.6020	5.030	0.077
1.6036	4.980	0.076
1.6052	4.966	0.076
1.6068	4.953	0.076
1.6084	5.103	0.078
1.6100	5.040	0.076
1.6116	5.000	0.077
1.6132	4.939	0.076
1.6148	5.039	0.077
1.6164	5.221	0.079
1.6180	5.039	0.076
1.6196	5.035	0.078
1.6211	4.823	0.075
1.6227	4.965	0.077
1.6243	4.931	0.076
1.6259	4.967	0.076
1.6275	4.960	0.077
1.6291	4.938	0.076
1.6307	5.041	0.077
1.6323	5.101	0.077
1.6339	5.026	0.077
1.6355	5.001	0.077
1.6371	5.079	0.077
1.6387	4.940	0.076
1.6403	4.812	0.075
1.6419	5.079	0.078
1.6435	4.962	0.077
1.6451	4.843	0.075
1.6467	4.960	0.077
1.6483	4.764	0.075
1.6499	4.968	0.077
1.6515	4.733	0.074
1.6531	5.040	0.077
1.6547	4.977	0.078
1.6563	4.869	0.076
1.6579	4.971	0.077
1.6595	4.945	0.076
1.6610	4.902	0.076
1.6626	4.922	0.077
1.6642	4.797	0.075
1.6658	4.965	0.077
1.6674	4.942	0.076
1.6690	4.821	0.076
1.6706	4.735	0.075
1.6722	4.912	0.076
1.6738	5.032	0.078
1.6754	4.964	0.076
1.6770	5.029	0.078
1.6786	4.928	0.076
1.6802	4.899	0.077
1.6818	5.075	0.078
1.6834	5.024	0.077
1.6850	5.089	0.078
1.6866	4.901	0.076
1.6882	5.031	0.078
1.6898	5.090	0.078
1.6914	5.167	0.078
1.6930	4.943	0.077
1.6946	5.021	0.077
1.6962	4.950	0.078
1.6978	4.940	0.076
1.6993	4.987	0.077
1.7009	4.956	0.077
1.7025	4.920	0.076
1.7041	4.964	0.078
1.7057	4.904	0.076
1.7073	4.944	0.077
1.7089	4.831	0.077
1.7105	4.995	0.077
1.7121	4.898	0.077
1.7137	5.061	0.078
1.7153	5.105	0.078
1.7169	5.027	0.078
1.7185	5.087	0.077
1.7201	5.018	0.078
1.7217	4.938	0.077
1.7233	4.926	0.077
1.7249	4.906	0.077
1.7265	4.968	0.077
1.7281	5.018	0.078
1.7297	5.044	0.078
1.7313	4.957	0.077
1.7329	4.839	0.076
1.7345	5.000	0.077
1.7360	4.929	0.077
1.7376	4.878	0.077
1.7392	4.980	0.077
1.7408	4.929	0.077
1.7424	4.667	0.075
1.7440	4.773	0.076
1.7456	4.871	0.077
1.7472	4.787	0.075
1.7488	4.880	0.077
1.7504	4.903	0.077
1.7520	4.720	0.075
1.7536	4.823	0.077
1.7552	4.860	0.076
1.7568	4.804	0.076
1.7584	4.894	0.077
1.7600	4.924	0.076
1.7616	4.960	0.078
1.7632	4.878	0.077
1.7648	4.748	0.076
1.7664	4.839	0.076
1.7680	4.834	0.076
1.7696	4.805	0.077
1.7712	4.931	0.077
1.7727	4.903	0.077
1.7743	4.781	0.076
1.7759	4.762	0.076
1.7775	4.798	0.076
1.7791	4.878	0.076
1.7807	4.721	0.076
1.7823	4.758	0.076
1.7839	4.815	0.077
1.7855	4.781	0.076
1.7871	4.835	0.076
1.7887	4.814	0.076
1.7903	4.726	0.076
1.7919	4.678	0.075
1.7935	4.706	0.075
1.7951	4.769	0.076
1.7967	4.731	0.076
1.7983	4.720	0.076
1.7999	4.606	0.074
1.8015	4.772	0.076
1.8031	4.711	0.076
1.8047	4.553	0.075
1.8063	4.796	0.076
1.8079	4.611	0.075
1.8094	4.577	0.075
1.8110	4.476	0.074
1.8126	4.674	0.076
1.8142	4.738	0.076
1.8158	4.510	0.074
1.8174	4.660	0.075
1.8190	4.587	0.075
1.8206	4.621	0.075
1.8222	4.752	0.076
1.8238	4.647	0.075
1.8254	4.691	0.076
1.8270	4.740	0.076
1.8286	4.587	0.075
1.8302	4.587	0.075
1.8318	4.519	0.074
1.8334	4.548	0.074
1.8350	4.506	0.075
1.8366	4.584	0.077
1.8382	4.583	0.079
1.8398	4.621	0.079
1.8414	4.655	0.081
1.8430	4.516	0.080
1.8445	4.802	0.083
1.8461	4.622	0.082
1.8477	4.659	0.082
1.8493	4.487	0.082
1.8509	4.475	0.082
1.8525	4.499	0.083
1.8541	4.580	0.084
1.8557	4.476	0.083
1.8573	4.633	0.086
1.8589	4.591	0.086
1.8605	4.458	0.084
1.8621	4.679	0.088
1.8637	4.515	0.086
1.8653	4.583	0.087
1.8669	4.566	0.087
1.8685	4.333	0.084
1.8701	4.527	0.088
1.8717	4.450	0.088
1.8733	4.310	0.086
1.8749	4.232	0.086
1.8765	4.021	0.084
1.8781	4.040	0.086
1.8796	3.950	0.084
1.8812	3.856	0.083
1.8828	3.884	0.085
1.8844	3.635	0.081
1.8860	3.475	0.081
1.8876	3.431	0.080
1.8892	3.300	0.079
1.8908	3.354	0.081
1.8924	3.198	0.078
1.8940	3.027	0.076
1.8956	2.917	0.075
1.8972	2.887	0.075
1.8988	2.865	0.076
1.9004	2.555	0.071
1.9020	2.327	0.068
1.9036	2.251	0.068
1.9052	2.210	0.067
1.9068	1.985	0.065
1.9084	1.638	0.058
1.9100	1.527	0.057
1.9116	1.241	0.052
1.9131	1.095	0.049
1.9147	0.943	0.045
1.9163	0.760	0.040
1.9179	0.667	0.038
1.9195	0.534	0.035
1.9211	0.580	0.036
1.9227	0.504	0.034
1.9243	0.511	0.034
1.9259	0.580	0.036
1.9275	0.543	0.035
1.9291	0.489	0.033
1.9307	0.508	0.034
1.9323	0.525	0.035
1.9339	0.590	0.037
1.9355	0.608	0.038
1.9371	0.586	0.038
1.9387	0.621	0.039
1.9403	0.631	0.039
1.9419	0.651	0.040
1.9435	0.596	0.039
1.9451	0.571	0.038
1.9466	0.541	0.037
1.9482	0.578	0.038
1.9498	0.563	0.038
1.9514	0.558	0.038
1.9530	0.636	0.041
1.9546	0.649	0.041
1.9562	0.614	0.040
1.9578	0.516	0.037
1.9594	0.529	0.038
1.9610	0.621	0.041
1.9626	0.593	0.040
1.9642	0.539	0.039
1.9658	0.527	0.039
1.9674	0.534	0.039
1.9690	0.596	0.041
1.9706	0.503	0.038
1.9722	0.604	0.042
1.9738	0.588	0.042
1.9754	0.541	0.040
1.9770	0.529	0.039
1.9785	0.550	0.041
1.9801	0.520	0.040
1.9817	0.495	0.039
1.9833	0.613	0.044
1.9849	0.542	0.041
1.9865	0.525	0.041
1.9881	0.550	0.042
1.9897	0.516	0.040
1.9913	0.490	0.040
1.9929	0.513	0.041
1.9945	0.603	0.045
1.9961	0.502	0.040
1.9977	0.447	0.038
1.9993	0.430	0.038
2.0009	0.526	0.043
2.0025	0.561	0.044
2.0041	0.509	0.042
2.0057	0.519	0.043
2.0073	0.505	0.043
2.0089	0.452	0.040
2.0104	0.507	0.043
2.0120	0.530	0.045
2.0136	0.485	0.042
2.0152	0.471	0.042
2.0168	0.466	0.042
2.0184	0.523	0.045
2.0200	0.560	0.047
2.0216	0.559	0.047
2.0232	0.412	0.040
2.0248	0.484	0.044
2.0264	0.448	0.042
2.0280	0.442	0.043
2.0296	0.589	0.048
2.0312	0.545	0.047
2.0328	0.506	0.046
2.0344	0.496	0.046
2.0360	0.542	0.048
2.0376	0.442	0.044
2.0392	0.317	0.037
2.0408	0.385	0.042
2.0423	0.568	0.050
2.0439	0.479	0.047
2.0455	0.417	0.044
2.0471	0.343	0.040
2.0487	0.500	0.049
2.0503	0.423	0.045
2.0519	0.440	0.046
2.0535	0.517	0.050
2.0551	0.426	0.046
2.0567	0.487	0.050
2.0583	0.483	0.049
2.0599	0.458	0.049
2.0615	0.373	0.044
2.0631	0.524	0.052
2.0647	0.484	0.051
2.0663	0.452	0.049
2.0679	0.464	0.051
2.0695	0.467	0.051
2.0711	0.433	0.049
2.0726	0.370	0.046
2.0742	0.480	0.052
2.0758	0.514	0.055
2.0774	0.488	0.055
2.0790	0.364	0.047
2.0806	0.438	0.052
2.0822	0.500	0.056
2.0838	0.491	0.056
2.0854	0.487	0.056
2.0870	0.455	0.054
2.0886	0.333	0.048
2.0902	0.368	0.049
2.0918	0.527	0.060
2.0934	0.393	0.053
2.0950	0.322	0.047
2.0966	0.331	0.050
2.0982	0.446	0.057
2.0998	0.363	0.052
2.1014	0.473	0.061
2.1029	0.447	0.058
2.1045	0.452	0.060
2.1061	0.384	0.055
2.1077	0.367	0.055
2.1093	0.403	0.058
2.1109	0.378	0.056
2.1125	0.451	0.063
2.1141	0.455	0.064
2.1157	0.333	0.056
2.1173	0.340	0.057
2.1189	0.398	0.061
2.1205	0.272	0.051
2.1221	0.290	0.054
2.1237	0.424	0.065
2.1253	0.370	0.063
2.1269	0.347	0.060
2.1285	0.323	0.059
2.1301	0.395	0.068
2.1317	0.341	0.061
2.1332	0.354	0.067
2.1348	0.341	0.063
2.1364	0.532	0.082
2.1380	0.320	0.065
2.1396	0.354	0.067
2.1412	0.221	0.057
2.1428	0.324	0.066
2.1444	0.403	0.078
2.1460	0.277	0.065
2.1476	0.508	0.088
2.1492	0.345	0.077
2.1508	0.355	0.076
2.1524	0.526	0.096
2.1540	0.547	0.102
2.1556	0.148	0.052
2.1572	0.313	0.081
2.1588	0.245	0.071
2.1604	0.304	0.081
2.1620	0.390	0.098
2.1635	0.302	0.084
2.1651	0.342	0.095
2.1667	0.432	0.108
2.1683	0.353	0.102
2.1699	0.194	0.079
2.1715	0.344	0.104
2.1731	0.556	0.143
2.1747	0.440	0.133
2.1763	0.458	0.138
2.1779	0.400	0.141
2.1795	0.150	0.087
2.1811	0.375	0.153
2.1827	0.667	0.211
2.1843	0.167	0.118
2.1859	0.111	0.111
2.1875	0.444	0.222
2.1891	0.400	0.283
2.1907	0.250	0.250
2.1922	1.000	0.000
